config,n_runs,type,mean_infl_wound,n_agents,peak_collagen,peak_inflammation,peak_inflammation_day,peak_inflammation_step,peak_macrophages,peak_myofibroblasts,peak_neutrophils,predicted_peak_inflammation,predicted_scar_magnitude,predicted_time_to_50pct_days,scar_magnitude,synergy_mean,synergy_peak_inflammation,synergy_scar_magnitude,synergy_time_to_50pct_days,time_to_50pct_days,time_to_90pct_days,wound_closure_pct
baseline,10,baseline,0.000228184,0,0.146743,0.781494,2.1,500,10,10,9.9,,,,1.77762,,,,,14.2,22.63,100
anti_inflammatory,10,single,3.7938e-05,0,0.130131,0.462828,1.78,420,10,10,10.6,,,,0.788863,,,,,11.27,18.88,100
doxycycline,10,single,7.56798e-05,0,0.138809,0.654068,1.9,450,10,10,10.6,,,,1.49921,,,,,12.46,18.92,100
growth_factor,3,single,0.000137899,0,0.262393,0.794271,1.96667,466.667,10,17,9.66667,,,,1.81367,,,,,15,20.9667,100
hbo,3,single,0.000116446,0,0.253374,0.816865,1.96667,466.667,10,10,9.33333,,,,1.60427,,,,,11.8333,19.6,100
moisture,3,single,0.00435826,0,0.1205,0.858363,1.96667,466.667,10,10,9.33333,,,,2.0158,,,,,9.46667,15.1333,100
msc,3,single,5.53133e-05,0,0.24352,0.758302,1.7,400,10,10,10,,,,1.46605,,,,,10.9667,18.0333,100
npwt,3,single,0.00215833,0,0.181897,0.839944,1.7,400,10,10,11,,,,1.80286,,,,,8.76667,15.6667,100
anti_inflammatory+doxycycline+hbo+moisture+msc+npwt,3,combo,0.000942053,0,0.0922969,0.48234,1.7,400,10,10,11,0.48289829999999995,0.2889712666666666,-6.236666666666665,0.852537,-0.4341568233174335,0.0007139740707853866,-0.3170342092813019,-0.9861502347417839,7.76667,14.6,100
anti_inflammatory+doxycycline+growth_factor+hbo+moisture+msc+npwt,6,combo,0.00158142,0,0.0957,0.488756,1.7,400,10,17,11.1667,0.49567466666666665,0.3250209333333336,-5.436666666666664,0.945011,-0.4318521085971483,0.008853338192400603,-0.3487758611669441,-0.9556338028169012,8.13333,15.7,99.3055
anti_inflammatory+doxycycline+hbo+msc+npwt,3,combo,0.00142416,0,0.0338906,0.485432,1.7,400,10,10,10,0.4060295999999998,0.050784933333333226,-1.503333333333332,0.919157,-0.4276098441507874,-0.10160287370831346,-0.4885036540492131,-0.6927230046948357,8.33333,15.6667,97.2222
